"Rank","Name","Symbol","marketcap","price (USD)","country"
"144","PlaySide Studios","PLY.AX","47514980","0.112613","Australia"
"145","Kayak Inc","3904.T","47417132","2.94359","Japan"
"146","Mobile Factory","3912.T","45703480","6.24762","Japan"
"147","KLab","3656.T","43766166","0.914449","Japan"
"148","Feiyu Technology International Company","1022.HK","41817133","0.0239032","China"
"149","Gala Incorporated","4777.T","41527514","1.48181","Japan"
"150","Fun Yours Technology","6482.TWO","40274457","1.68788","Taiwan"
"151","TENDA","4198.T","39860989","6.04738","Japan"
"152","Infinities Tech (Jiu Zun Digital)","1961.HK","39633793","0.0539749","China"
"153","Snail Inc","SNAL","38702216","0.8784","China"
"154","Netgem","ALNTG.PA","37320722","1.08096","France"
"155","CAVE Interactive","3760.T","37241002","6.18087","Japan"
"156","CROOZ","2138.T","36146293","3.77794","Japan"
"157","Aeria","3758.T","35039511","1.67538","Japan"
"158","CyberStep","3810.T","34702122","1.98909","Japan"
"159","Akili","AKLI","34096536","0.4331","United States"
"160","FingerTango","6860.HK","34016554","0.0177346","China"
"161","Tose Software","4728.T","33441658","4.41205","Japan"
"162","Asiasoft","AS.BK","33400325","0.0669014","Thailand"
"163","tinyBuild","8Z3.F","31089058","0.0652902","United States"
"164","Forever Entertainment","8FE.SG","29586726","0.970706","Poland"
"165","Starbreeze","STAR-B.ST","28525726","0.0185804","Sweden"
"166","5th Planet Games","5PG.OL","27831387","0.0970421","Denmark"
"167","geechs","7060.T","27775601","2.68995","Japan"
"168","Trophy Games","TGAMES.CO","27349768","0.977493","Denmark"
"169","BoomBit","BBT.WA","27308153","2.00206","Poland"
"170","Nippon Ichi Software","3851.T","27156016","5.36655","Japan"
"171","Ourgame International","6899.HK","26316856","0.0244172","China"
"172","Astro Corporation","3064.TWO","24545568","1.88645","Taiwan"
"173","Games Operators","GOP.WA","24345649","4.41692","Poland"
"174","East Side Games","EAGR.TO","23796331","0.288375","Canada"
"175","MAG Interactive","MAGI.ST","23356610","0.869805","Sweden"
"176","BigBen Interactive","BIG.PA","22627763","1.22365","France"
"177","Appirits","4174.T","22396204","5.58682","Japan"
"178","NJ Holdings","9421.T","22009739","4.15841","Japan"
"179","Yuke's","4334.T","21465351","2.54978","Japan"
"180","All in! Games","ALG.WA","21168896","0.279928","Poland"
"181","enish","3667.T","21142208","0.787628","Japan"
"182","Edia","3935.T","19755811","3.22393","Japan"
"183","GigaMedia","GIGM","19451876","1.64","Taiwan"
"184","Gaming Factory","GIF.WA","18824351","2.81218","Poland"
"185","PopReach","INIK.V","17648808","0.0555903","Canada"
"186","Digital Hollywood Interactive","2022.HK","15678413","0.00783921","China"
"187","LL Lucky Games","LADYLU.ST","14206552","0.049561","Sweden"
"188","InterServ International","6169.TWO","14007295","0.59873","Taiwan"
"189","Big Cheese Studio","BCS.WA","13868679","3.35397","Poland"
"190","WonderPlanet","4199.T","13577085","5.33317","Japan"
"191","Don't Nod Entertainment","ALDNE.PA","13394875","1.0053","France"
"192","Silicon Studio","3907.T","13275167","4.79251","Japan"
"193","Linekong Interactive","8267.HK","13240934","0.0359832","China"
"194","Forgame","0484.HK","13079715","0.0912432","China"
"195","Mynet","3928.T","12863280","1.52186","Japan"
"196","Gaming Corps","GCOR.ST","12852466","0.101013","Sweden"
"197","iCandy Interactive","ICI.AX","12816917","0.01001","Australia"
"198","Ultimate Games","ULG.WA","12332869","2.3581","Poland"
"199","Netmarble Joybomb","6468.TWO","10795915","0.94","Taiwan"
"200","Versus Systems","VS","10391556","2.0801","Canada"
"201","Voltage","3639.T","10245029","1.59528","Japan"
"202","Mobcast","3664.T","10130396","0.226944","Japan"
"203","Axel Mark","3624.T","9891464","0.727554","Japan"
"204","Blue Hat","BHAT","9533743","1.82","China"
"205","Sino-Entertainment Technology","6933.HK","9222887","0.0222325","China"
"206","AltPlus","3672.T","7526406","0.34709","Japan"
"207","Vivid Games","VVD.WA","5830670","0.179567","Poland"
"208","CMON","1792.HK","5570206","0.00257023","Singapore"
"209","Thunderful Group","THUNDR.ST","5330435","0.0758343","Sweden"
"210","Fragbite Group","FRAG.ST","5305214","0.762323","Sweden"
"211","ManyDev Studio","MAN.WA","4796182","0.167699","Poland"
"212","Nitro Games","NITRO.ST","4117591","0.165203","Finland"
"213","Playgon Games","DEAL.V","4017886","0.0104232","Canada"
"214","PunkPirates","PUN.WA","3942991","0.13","Poland"
"215","Motorsport Gaming","MSGM","3533753","1.05","United States"
"216","Fire Rock","1909.HK","2936233","0.0152929","China"
"217","Maximum Entertainment","8R7.F","2467632","0.0330775","Sweden"
"218","Gameone","8282.HK","2173131","0.0571877","Hong Kong"
"219","Playground Ventures","PLAY.CN","2053690","0.0208464","Canada"
"220","GAME HOURS","6626.TWO","1997989","0.679965","Taiwan"
"221","Qiiwi Games","QIIWI.ST","1988300","0.214963","Sweden"
"222","Solid Clouds","SOLID.IC","1297773","0.00704545","Iceland"
"223","Sozap","SOZAP.ST","1255597","0.0542384","Sweden"
"224","T-Bull","TBL.WA","1226316","1.03199","Poland"
"225","Tapinator","TAPM","1008412","0.37","United States"
"226","iEntertainment Network","IENT","889916","0.0068","United States"
"227","Mighty Kingdom","MKL.AX","811047","0.00375375","Australia"
"228","Kuuhubb","KUU.V","712506","0.01","Canada"
"229","Freeze Tag","FRZT","557235","0.007","United States"
"230","Gamer Pakistan","GPAK","345320","0.0135","United States"
"231","Super League Gaming","SLGG","291827","0.0856","United States"
"232","The NFT Gaming Company","NFTG","272488","0.2501","United States"
"233","Gaming Technologies (Gametech)","GMGT","9140","0.0002","United States"
"234","Virtual Interactive Technologies","VRVR","4126","0.0005","Bermuda"
